Track,Artist,Album,Year,Duration,Time_Signature,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Popularity
Boogie Oogie Oogie,A Taste Of Honey,A Taste Of Honey, 1978,245173,4,0.797,0.548,2,-9.228,0,0.0492,0.0401,0.0000105,0.0994,0.868,123.686,53
Disco Dancin' - 2004 - Remastered,A Taste Of Honey,A Taste Of Honey,1978,210493,4,0.751,0.57,2,-11.645,1,0.0813,0.371,0.0000204,0.123,0.77,103.408,11
Distant,A Taste Of Honey,A Taste Of Honey, 1978,260053,4,0.468,0.512,2,-10.187,1,0.138,0.782,0.0000201,0.202,0.714,163.4,13
Do It Good,A Taste Of Honey,Another Taste (Expanded Edition), 1978,342826,4,0.699,0.74,3,-8.625,0,0.0289,0.0714,0.0000019,0.165,0.889,104.168,17
If We Loved,A Taste Of Honey,A Taste Of Honey, 1978,266200,4,0.463,0.459,6,-11.6,1,0.0296,0.764,0.00000288,0.158,0.3,129.267,13
Rescue Me - Remastered,A Taste Of Honey,Twice As Sweet,1978,203000,4,0.806,0.741,5,-7.351,0,0.0494,0.225,0.0000524,0.0568,0.881,106.817,35
Sky High,A Taste Of Honey,A Taste Of Honey, 1978,307040,4,0.397,0.603,0,-12.278,0,0.0732,0.677,0.00000165,0.229,0.382,93.534,12
This Love Of Ours,A Taste Of Honey,A Taste Of Honey, 1978,213266,4,0.514,0.542,9,-10.298,1,0.0277,0.615,0.000169,0.123,0.393,107.687,13
World Spin,A Taste Of Honey,A Taste Of Honey, 1978,242000,4,0.642,0.465,2,-11.385,1,0.0283,0.21,0.0102,0.12,0.597,99.375,20
Chiquitita,ABBA,Voulez-Vous, 1978,326320,4,0.5,0.554,9,-8.108,1,0.0354,0.734,0.00000372,0.312,0.372,84.229,72
Dancing Queen,ABBA,Arrival, 1976,230400,4,0.543,0.87,9,-6.514,1,0.0428,0.358,0.000939,0.792,0.754,100.804,85
Fernando,ABBA,Arrival, 1976,252960,4,0.354,0.535,9,-8.876,1,0.0303,0.627,0.0000029,0.0808,0.434,110.821,69
Gimme! Gimme! Gimme! (A Man After Midnight),ABBA,Voulez-Vous, 1979,292613,4,0.749,0.491,10,-9.655,1,0.0403,0.02,0.00899,0.159,0.536,119.528,81
"Knowing Me, Knowing You",ABBA,Arrival, 1977,241920,4,0.546,0.733,2,-7.073,1,0.0299,0.0399,0.00000111,0.235,0.91,107.285,67
SOS,ABBA,ABBA Gold, 1975,201360,4,0.393,0.719,5,-4.773,1,0.0279,0.0629,0.00432,0.219,0.497,124.353,65
